Date,Open,High,Low,Close,Volume
2023-05-17,29.55,30.48,29.23,30.33,101104633
2023-05-18,30.4,32.04,30.395,31.96,135933818
2023-05-19,32.03,32.24,31.45,31.74,99029203
2023-05-22,31.68,32.36,31.67,32.07,83312358
2023-05-23,31.56,31.895,30.73,30.83,106314966
2023-05-24,30.27,30.7,29.77,30.33,117972535
2023-05-25,32.36,32.87,31.68,32.52,130873504
2023-05-26,32.81,35.25,32.79,34.98,126392243
2023-05-30,36.31,36.67,35.04,35.47,135306375
2023-05-31,34.97,35.585,34.4,34.75,105144466
2023-06-01,34.74,36.43,34.41,36.01,108379598
2023-06-02,36.56,37.19,36.01,36.82,108252775
2023-06-05,36.76,37.7,36.56,36.9,103130933
2023-06-06,36.69,37.16,36.26,36.86,79754516
2023-06-07,36.94,37.56,34.77,34.98,114242720
2023-06-08,35.02,36.38,34.95,36.18,94076943
2023-06-09,36.68,37.615,36.195,36.62,103972012
2023-06-12,37.15,38.51,36.8401,38.49,77977891
2023-06-13,39.37,39.63,38.32,39.35,133267142
2023-06-14,39.35,40.3,38.4205,40.19,152656482
2023-06-15,39.74,42.09,39.51,41.6,127936997
2023-06-16,42.41,42.44,40.65,40.8,112405206
2023-06-20,40.29,41.08,39.6,40.6,84124889
2023-06-21,40.08,40.22,38.5,38.85,99633324
2023-06-22,38.37,40.19,38.2392,40.14,105099633
2023-06-23,38.83,39.71,38.38,38.95,112576217
2023-06-26,39.1501,39.67,37.34,37.41,108450030
2023-06-27,37.845,39.5,37.6,39.26,97677018
2023-06-28,38.67,40.14,38.6325,39.5,108676267
2023-06-29,39.36,39.56,38.67,39.23,99133226
2023-06-30,40.4,41.35,40.29,41.0,92154386
2023-07-03,41.2,41.49,40.84,41.28,39934028
2023-07-05,40.72,41.84,40.71,41.25,69503675
2023-07-06,39.97,40.42,39.29,40.28,85236667
2023-07-07,40.19,41.255,39.78,39.87,84312424
2023-07-10,39.76,40.1099,38.93,39.9,86006812
2023-07-11,40.02,40.615,39.3,40.47,81239342
2023-07-12,41.83,42.44,41.1501,41.97,115167662
2023-07-13,43.02,44.36,42.83,44.06,82386624
2023-07-14,44.22,45.36,43.7201,44.02,93028164
2023-07-17,44.28,45.5655,44.11,45.24,72762633
2023-07-18,45.015,46.8409,44.31,46.32,98316830
2023-07-19,46.73,47.14,45.82,46.32,100286930
2023-07-20,45.16,45.7,42.69,43.07,116931412
2023-07-21,43.88,44.18,42.51,42.69,102554325
